,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
123.00,Tacones lejanos,1991.00,R,25728.70,112 min,"Comedy, Drama, Romance",Pedro Almodóvar,Pedro Almodóvar,"Victoria Abril, Marisa Paredes, Miguel Bosé",A singer returns after 15 years abroad to perform in Madrid and finds her 27 y.o. daughter married to one of her mom's ex-lovers.,Spanish,"Spain, France",11 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BZGQ3NzFkZGEtYzNmNS00MjYzLWI2NjUtNzBmOTVkMGUxMjdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.00,7.10,35785.51,tt0103030,movie,42689.00,40071397.78,N/A,N/A,True,
124.00,The One Where They Get Back Together,2021.00,TV-14,25728.70,104 min,"Comedy, Romance",Ben Winston,"David Crane (based on the TV show by), Marta Kauffman (based on the TV show by)","Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc",An unscripted Friends reunion special.,English,USA,Nothing,https://m.media-amazon.com/images/M/MV5BODI0MzdhODAtNDMwNi00NGZlLTg1Y2YtN2M5ZGFmOThkZGM3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}]",64.02,8.20,35785.51,tt11337862,movie,44343.00,40071397.78,N/A,N/A,True,
125.00,Brewster McCloud,1970.00,R,25728.70,105 min,"Comedy, Fantasy",Robert Altman,Doran William Cannon,"Bud Cort, Shelley Duvall, Sally Kellerman",An introverted loner living in the bowels of the Astrodome plots to develop - with the aid of a mysterious guardian angel - a pair of wings that will help him fly.,English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BN2EwMGVmZjYtNGFhMy00YjVjLTg3OTktNWViNWIyOGUzOTYzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.00,7.00,35785.51,tt0065492,movie,40372.00,40071397.78,N/A,N/A,True,
126.00,Images,1972.00,R,25728.70,104 min,"Drama, Horror, Mystery",Robert Altman,"Robert Altman, Susannah York","Susannah York, Rene Auberjonois, Marcel Bozzuffi","A schizophrenic housewife kills off each of her terrorizing apparitions, unsure if these demons are merely figments of her imagination or part of reality.","English, French",United Kingdom,Nominated for 1 Oscar. 1 win & 7 nominations total,https://m.media-amazon.com/images/M/MV5BNjA1OTNhZWUtNjU2ZS00N2FiLTg3MDItYzFiOTZjNWJhNWE4XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",64.02,7.10,35785.51,tt0068732,movie,42981.00,40071397.78,N/A,N/A,True,
127.00,California Split,1974.00,R,25728.70,108 min,"Comedy, Drama",Robert Altman,Joseph Walsh,"George Segal, Elliott Gould, Ann Prentiss","When a casual gambler befriends a professional one, he begins to mirror his life, sending both deeper into the sleazy gambling world where the stakes keep getting bigger.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNjk5MzNjMDctYTdhNS00OWI0LWI2MzUtMDI3ODYwMDc5M2E3XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84.00,7.20,35785.51,tt0071269,movie,41274.00,40071397.78,N/A,N/A,True,
128.00,Thieves Like Us,1974.00,R,25728.70,123 min,"Crime, Drama, Romance",Robert Altman,"Calder Willingham, Joan Tewkesbury, Robert Altman","Keith Carradine, Shelley Duvall, John Schuck","When two men break out of prison, they join up with another and restart their criminal ways, robbing banks across the South.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BNmU1YmM3YjQtMTdiMS00N2VhLThjNzUtYmRiYjhhODM4NjdiXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82.00,7.00,35785.51,tt0072274,movie,39189.00,40071397.78,N/A,N/A,True,
129.00,Nashville,1975.00,R,25728.70,160 min,"Comedy, Drama, Music",Robert Altman,Joan Tewkesbury,"Keith Carradine, Karen Black, Ronee Blakley","Over the course of a few hectic days, numerous interrelated people prepare for a political convention.",English,United States,Won 1 Oscar. 24 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BMDY0MzE3YWQtZTAzMS00ZmRlLWE3NzYtMjk0NDlkMmE4N2U2XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",96.00,7.70,35785.51,tt0073440,movie,36753.00,40071397.78,N/A,N/A,True,
130.00,Buffalo Bill and the Indians or Sitting Bull's History Lesson,1976.00,PG,25728.70,123 min,"Comedy, Western",Robert Altman,"Arthur Kopit, Alan Rudolph, Robert Altman","Paul Newman, Joel Grey, Kevin McCarthy",A cynical Buffalo Bill hires Sitting Bull to exploit him and add his credibility to the distorted view of history presented in his Wild West Show.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BOTNjNjZkNzctYjlmZS00NzQ5LTk3MzAtMWI4NjQxZjFkMzRmXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}]",64.02,6.10,35785.51,tt0074254,movie,37019.00,40071397.78,N/A,N/A,True,
131.00,Three Women,2008.00,R,25728.70,94 min,Drama,Manijeh Hekmat,"Naghmeh Samini (screenplay), Manijeh Hekmat (screenplay)","Niki Karimi, Pegah Ahangarani, Babak Hamidian, Reza Kianian","Forty-something single mother Minoo is a product of the Islamic Revolution, a generation of women repressed by changes in law under the new Islamic Republic. Her daughter Pegah is a ...",Persian,Iran,2 wins.,https://m.media-amazon.com/images/M/MV5BZjg3NDVjMjktNGYwZi00NDMzLWI2MWUtODAwZTA3Mzc1ZDI5XkEyXkFqcGdeQXVyMTAyNTQ0MTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",64.02,5.70,35785.51,tt1173682,movie,N/A,40071397.78,N/A,N/A,True,
132.00,Fool for Love,1985.00,R,25728.70,106 min,Drama,Robert Altman,Sam Shepard,"Sam Shepard, Kim Basinger, Harry Dean Stanton","May is waiting for her boyfriend in a run-down American motel, when an old flame turns up and threatens to undermine her efforts and drag her back into the life that she was running away from. The situation soon turns complicated.",English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BNzFiOTc4NDctYmQ3OS00YmVlLTgwNTMtZWVjMDY2YWRhZGY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64.00,6.10,35785.51,tt0089160,movie,38097.00,40071397.78,N/A,N/A,True,
133.00,Perfect Player The Real Game Mauritius,2014.00,R,25728.70,27 min,Adventure,N/A,N/A,"Suchhi Kumar, Alvin Sohun","PERFECT PLAYER The Real Game 2014,Mauritius - either catch up or pack up!!.",French,Mauritius,Nothing,https://m.media-amazon.com/images/M/MV5BMzRhNWI1ZWItNGVhNi00YjFmLWIzNDAtM2I4ZWFiYWQ3NjYxXkEyXkFqcGdeQXVyODcwNDYyMDI@._V1_SX300.jpg,[],64.02,6.52,35785.51,tt8280694,series,,40071397.78,,,True,N/A
134.00,Prêt-à-Porter,1994.00,R,25728.70,133 min,"Comedy, Drama",Robert Altman,"Robert Altman, Barbara Shulgasser","Sophia Loren, Julia Roberts, Marcello Mastroianni",A chronicle of the interconnected lives of a group of people in the lead up to Paris Fashion Week.,"English, French, Italian, Russian, Spanish",United States,3 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BZWMwN2RiZDQtN2RkNS00YzJkLWI2ODMtODk1MzQxODE4NzU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48.00,5.20,35785.51,tt0110907,movie,41051.00,40071397.78,N/A,N/A,True,
135.00,Kansas City Confidential,1952.00,Not Rated,25728.70,99 min,"Crime, Drama, Film-Noir",Phil Karlson,"George Bruce, Harry Essex, Harold Greene","John Payne, Coleen Gray, Preston Foster",An ex-con trying to go straight is framed for a million dollar armored car robbery and must go to Mexico in order to unmask the real culprits.,"English, Spanish",United States,Nothing,https://m.media-amazon.com/images/M/MV5BZjFkNmQ4ODUtZTI4MC00MWViLTkyODktMjE1ZTcxNmVmYmQ3XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",64.02,7.40,35785.51,tt0044789,movie,37049.00,40071397.78,N/A,N/A,True,
136.00,Cookie's Fortune,1999.00,PG-13,25728.70,118 min,"Comedy, Drama",Robert Altman,Anne Rapp,"Glenn Close, Julianne Moore, Liv Tyler",Conflict arises in the small town of Holly Springs when an old woman's death causes a variety of reactions among family and friends.,English,United States,3 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BYmEwYTc2MTUtMGU0Yi00NDg0LWExZWQtODE1MTRiZjQyMWRlXkEyXkFqcGdeQXVyMTgxOTIzNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70.00,6.90,35785.51,tt0126250,movie,42644.00,40071397.78,N/A,N/A,True,
137.00,The Making of 'Dr. T and the Women',2001.00,R,25728.70,11 min,"Documentary, Short",N/A,N/A,"Robert Altman, Laura Dern, Farrah Fawcett, Richard Gere",N/A,English,USA,Nothing,https://m.media-amazon.com/images/M/MV5BYzcwYzQ3YzktMzFmZC00NzA3LWIyNDgtYjdlYThlMzc0NWNmXkEyXkFqcGdeQXVyNjExODUwNDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",64.02,4.00,35785.51,tt0486857,movie,N/A,40071397.78,N/A,N/A,True,
138.00,Gosford Park,2001.00,R,25728.70,131 min,"Comedy, Drama, Mystery",Robert Altman,"Julian Fellowes, Robert Altman, Bob Balaban","Maggie Smith, Ryan Phillippe, Michael Gambon","Set in the 1930s, this movie brings a group of pretentious rich and famous together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect.","English, Latin","United States, United Kingdom, Italy",Won 1 Oscar. 36 wins & 74 nominations total,https://m.media-amazon.com/images/M/MV5BYzM4YzlhZGMtYTI2Yi00OTY4LWE0MzctNDFlYTQ3YmFlOTBjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90.00,7.20,35785.51,tt0280707,movie,37432.00,40071397.78,N/A,N/A,True,
139.00,Merton of the Movies,1947.00,Approved,25728.70,82 min,"Comedy, Romance",Robert Alton,"Lou Breslow, Marc Connelly, George S. Kaufman","Red Skelton, Virginia O'Brien, Gloria Grahame",A Kansas bumpkin goes to Hollywood to become a movie star and gets a job burlesquing his favorite actor - only he thinks the role is serious.,English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BMjAzMTk0NTA5Ml5BMl5BanBnXkFtZTcwNjMxNzgxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",64.02,6.40,35785.51,tt0039619,movie,N/A,40071397.78,Metro-Goldwyn-Mayer,N/A,True,
140.00,Jaws 3-D,1983.00,PG,25728.70,99 min,"Adventure, Horror, Thriller",Joe Alves,"Peter Benchley, Richard Matheson, Carl Gottlieb","Dennis Quaid, Bess Armstrong, Simon MacCorkindale",A giant thirty-five-foot shark becomes trapped in a SeaWorld theme park and it's up to the sons of police chief Brody to rescue everyone.,English,United States,5 nominations,https://m.media-amazon.com/images/M/MV5BM2QwYjhiMzQtN2RiYS00MzgxLThmNzItMmJlNmMyMmQyYTA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",27.00,3.70,35785.51,tt0085750,movie,42066.00,40071397.78,N/A,N/A,True,
141.00,Tournée,2010.00,R,25728.70,111 min,"Comedy, Drama",Mathieu Amalric,"Mathieu Amalric, Raphaëlle Desplechin, Philippe Di Folco","Miranda Colclasure, Suzanne Ramsey, Dirty Martini","Joachim, a former Parisian television producer had left everything behind - his children, friends, enemies, lovers and regrets - to start a new life in America. He comes back with a team of New burlesque strip-tease performers whom J","French, English","France, Germany",3 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BZmNkYmQ3MjktMDQwZi00NmI3LTkxNWItMjZiNjM3YzdmMTZhXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",64.02,6.50,35785.51,tt1451762,movie,N/A,40071397.78,N/A,N/A,True,
142.00,Asphalte,2015.00,Not Rated,25728.70,100 min,"Comedy, Drama",Samuel Benchetrit,"Samuel Benchetrit, Gábor Rassov","Isabelle Huppert, Gustave Kervern, Valeria Bruni Tedeschi","Improbable encounters bring tenderness, laughter and compassion to a world of urban alienation.","French, English, Arabic",France,1 nomination,https://m.media-amazon.com/images/M/MV5BMmI2NmQ5YWYtM2Q1Ny00NWQxLTkzYjEtNGJlNjRjOGRiYzNhXkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",64.02,7.10,35785.51,tt4357368,movie,N/A,40071397.78,N/A,N/A,True,
143.00,"Hiver 54, l'abbé Pierre",1989.00,R,25728.70,102 min,"Biography, Drama",Denis Amar,"Marie Devort, Denis Amar","Lambert Wilson, Claudia Cardinale, Robert Hirsch",France experienced one of the most chilling winters in 1954.It was during that harsh weather that a catholic priest L'Abbé Pierre wrote an open letter to minister of housing to provide shelter to numerous homeless people.,French,France,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTY5NjY3NTEwN15BMl5BanBnXkFtZTcwMzkwODY0Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",64.02,6.10,35785.51,tt0097515,movie,N/A,40071397.78,N/A,N/A,True,
144.00,Totò di notte n. 1,1962.00,R,25728.70,100 min,"Comedy, Musical",Mario Amendola,"Franco Castellano, Giuseppe Moccia, Bruno Corbucci","Totò, Erminio Macario, Helmut Zacharias","Ninì and Mimi are two friends, itinerant players, who can not make a penny.",Italian,Italy,Nothing,https://m.media-amazon.com/images/M/MV5BYzgzNDU4NGUtNjY3MS00ZDM2LWIxYzQtNWU3NDM1MjRlNGJlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",64.02,4.50,35785.51,tt0056603,movie,N/A,40071397.78,N/A,N/A,True,
145.00,Poids léger,2004.00,R,25728.70,90 min,Drama,Jean-Pierre Améris,"Olivier Adam, Jean-Pierre Améris","Nicolas Duvauchelle, Bernard Campan, Maï Anh Le","A young man tries his way in boxing, supported by a coach. He meets a girl, falls in love and she becomes pregnant.","French, Vietnamese","France, Belgium",1 nomination,https://m.media-amazon.com/images/M/MV5BMjExMjEzNzUyMV5BMl5BanBnXkFtZTcwNTc5NjQyMg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",64.02,6.00,35785.51,tt0389282,movie,N/A,40071397.78,N/A,N/A,True,
146.00,Sommersby,1993.00,PG-13,25728.70,114 min,"Drama, Mystery, Romance",Jon Amiel,"Daniel Vigne, Jean-Claude Carrière, Nicholas Meyer","Richard Gere, Jodie Foster, Lanny Flaherty","A farmer returns home from the Civil War, but his wife begins to suspect that the man is an impostor.",English,"France, United States",2 nominations,https://m.media-amazon.com/images/M/MV5BY2M1ZGJkMTItM2QwYS00Nzg0LWE2NjMtNWY1NTg1YzRkNWFlXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}]",64.02,6.20,35785.51,tt0108185,movie,36424.00,40071397.78,N/A,N/A,True,
147.00,Entrapment,1999.00,PG-13,25728.70,113 min,"Action, Crime, Romance",Jon Amiel,"Ronald Bass, Michael Hertzberg, William Broyles Jr.","Sean Connery, Catherine Zeta-Jones, Ving Rhames",An insurance agent is sent by her employer to track down and help capture an art thief.,English,"United States, United Kingdom, Germany",4 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BODgyMmE3YWQtNDE4Yy00ODExLThmNDUtYmM4ZTk2ZTVjNDEzL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54.00,6.30,35785.51,tt0137494,movie,36620.00,40071397.78,N/A,N/A,True,
148.00,Kid Nightingale,1939.00,Passed,25728.70,57 min,"Comedy, Music, Sport",George Amy,"Charles Belden, Raymond L. Schrock, Lee Katz","John Payne, Jane Wyman, Walter Catlett",A singing waiter gets into an argument with some obnoxious customers and winds up knocking them out. The incident is witnessed by a shady boxing promoter who sees an opportunity to cash in and pretty soon the waiter is being promoted,English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BZjNiMzNkMTktODI1Yi00OGI2LTk2YmQtODIyZmY1NzYzNzQwXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",64.02,5.80,35785.51,tt0031533,movie,N/A,40071397.78,N/A,N/A,True,
149.00,Miracle in Soho,1957.00,R,25728.70,93 min,"Drama, Romance",Julian Amyes,Emeric Pressburger,"John Gregson, Belinda Lee, Cyril Cusack","In London's colourful but seedy Soho of the 1950's, Michael Morgan is working mending the road. He is unhappy, with little hope of finding happiness. Then he meets Julia Gozzi, a conservative catholic girl making plans for a new life","English, Italian, French, Chinese",United Kingdom,Nothing,https://m.media-amazon.com/images/M/MV5BZTQ0ZjFiODEtNWU2Zi00MTliLWE3MDEtNWIyODE0MWQyOWQ0XkEyXkFqcGdeQXVyNDQ3NDM5OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",64.02,5.90,35785.51,tt0050707,movie,N/A,40071397.78,N/A,N/A,True,
150.00,Grace of My Heart,1996.00,R,25728.70,116 min,"Comedy, Drama, Music",Allison Anders,Allison Anders,"Illeana Douglas, John Turturro, Sissy Boyd","Edna wins a recording contract singing her own song at a competition in 1958. After trying to make it as a singer/songwriter for 11 months in NYC, she has success writing songs for others at the Brill Building.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BOTA0YzkzM2MtNzlhNi00ZTdmLThlMmQtMTI3OGY1NzYxZGRmXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}]",64.02,6.70,35785.51,tt0116442,movie,38139.00,40071397.78,N/A,N/A,True,
151.00,Next Stop Wonderland,1998.00,R,25728.70,104 min,"Comedy, Drama, Romance",Brad Anderson,"Brad Anderson, Lyn Vaus","Hope Davis, Alan Gelfant, Philip Seymour Hoffman","An unlucky in love nurse finds her life taking a detour when her mother places a personals ad in the paper, while on the other side of Boston, a plumber is trying to change careers.",English,United States,3 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTgyMDQ4MTQxNl5BMl5BanBnXkFtZTYwOTIwMzc4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71.00,6.60,35785.51,tt0119778,movie,36655.00,40071397.78,N/A,N/A,True,
152.00,Flight from Ashiya,1964.00,Not Rated,25728.70,100 min,"Adventure, Romance, Drama",Michael Anderson,"Elliott Arnold, Waldo Salt","Yul Brynner, Richard Widmark, George Chakiris",A flight crew tries to save the survivors of a shipwreck off the coast of Japan during a raging typhoon.,English,"Japan, United States",Nothing,https://m.media-amazon.com/images/M/MV5BYmI3NWExN2ItMDBlYy00Y2JkLWI3NGItMWFiMWVlMDVmNzA0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",64.02,5.40,35785.51,tt0058104,movie,40571.00,40071397.78,United Artists,N/A,True,
153.00,This Sporting Life,1963.00,Not Rated,25728.70,134 min,"Drama, Sport",Lindsay Anderson,David Storey,"Richard Harris, Rachel Roberts, Alan Badel","Despite success on the field, a rising rugby star senses the emerging emptiness of his life as his inner angst begins to materialize through aggression and brutality, so he attempts to woo his landlady in hopes of finding reason to l",English,United Kingdom,Nominated for 2 Oscars. 4 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMTM1OTYzNjc0OF5BMl5BanBnXkFtZTcwMTEzMzY3NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",64.02,7.60,35785.51,tt0057578,movie,39469.00,40071397.78,N/A,N/A,True,
154.00,Catch Me If You Can,2002.00,PG-13,25728.70,141 min,"Biography, Crime, Drama",Steven Spielberg,"Jeff Nathanson, Frank Abagnale Jr., Stan Redding","Leonardo DiCaprio, Tom Hanks, Christopher Walken","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","English, French","United States, Canada",Nominated for 2 Oscars. 16 wins & 46 nominations total,https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.00,8.10,35785.51,tt0264464,movie,37747.00,40071397.78,N/A,N/A,True,
155.00,O Lucky Man!,1973.00,R,25728.70,178 min,"Comedy, Drama, Fantasy",Lindsay Anderson,"David Sherwin, Malcolm McDowell","Malcolm McDowell, Ralph Richardson, Rachel Roberts",An ambitious coffee salesman has a series of improbable and ironic adventures that seem designed to challenge his naive idealism.,English,"United Kingdom, United States",3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BOGFmNmFmMWMtNzRjOC00ZjlmLTliODUtZjNlNjhjOTY2N2Q5XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",64.02,7.70,35785.51,tt0070464,movie,39385.00,40071397.78,N/A,N/A,True,
156.00,Around the World in 80 Days,2004.00,PG,25728.70,120 min,"Action, Adventure, Comedy",Frank Coraci,"Jules Verne, David N. Titcher, David Benullo","Jackie Chan, Steve Coogan, Jim Broadbent","To win a bet, an eccentric British inventor, beside his Chinese valet and an aspiring French artist, embarks on a trip full of adventures and dangers around the world in exactly eighty days.","English, Cantonese, French, German, Hindi, Turkish","United States, Germany, Ireland, United Kingdom",2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTc4MTkxMjQ2NF5BMl5BanBnXkFtZTcwNzE0NzUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49.00,5.90,35785.51,tt0327437,movie,38224.00,40071397.78,N/A,N/A,True,
157.00,All the Fine Young Cannibals,1960.00,R,25728.70,112 min,"Drama, Music, Romance","Michael Anderson, Vincente Minnelli","Rosamond Marshall, Robert Thom","Robert Wagner, Natalie Wood, Susan Kohner","In rural Texas, Salome, pregnant with Chad's baby, runs away from home and marries wealthy Yale student Tony but, years later, runs into Chad, now a successful musician in New York.",English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BODQyMzQyY2ItNzc4NC00M2Q5LWEyYjAtMDY2OTFlMWYxOWZiXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",64.02,6.00,35785.51,tt0053582,movie,N/A,40071397.78,N/A,N/A,True,
158.00,Operation Crossbow,1965.00,PG-13,25728.70,115 min,"Action, Drama, War",Michael Anderson,"Duilio Coletti, Vittoriano Petrilli, Emeric Pressburger","Sophia Loren, George Peppard, Trevor Howard",Allied agents attempt to infiltrate the Nazis' rocket research site.,"English, German",United Kingdom,1 win,https://m.media-amazon.com/images/M/MV5BOWZkZGQwZjctYWI4MS00MmY1LTg0OWUtMGNlOTE1NWMyMTcyXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",64.02,6.60,35785.51,tt0059549,movie,39070.00,40071397.78,N/A,N/A,True,
159.00,Logan's Run,1976.00,PG,25728.70,119 min,"Action, Adventure, Sci-Fi",Michael Anderson,"David Zelag Goodman, William F. Nolan, George Clayton Johnson","Michael York, Jenny Agutter, Richard Jordan",A police officer in the future uncovers the deadly secret behind a society that worships youth.,English,United States,Won 1 Oscar. 7 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BZjFiY2IyMmItNmUwZi00ZGYxLThiZGItMWZiZjE0NGVhNWNmXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53.00,6.80,35785.51,tt0074812,movie,39476.00,40071397.78,N/A,N/A,True,
